timestamp,acok_n_signal_vdc,acoustic_noise_db,ambient_temp_c,axis_calib_position_deg,axis_drop_motors_off_mm,bearing_grease_interval_h,bearing_temp_c,bleeder_temp_c,brake_coil_current_a,brake_coil_resistance_ohm,brake_holding_torque_nm,brake_release_ok,brake_release_voltage_vdc,breaker_f5_ok,breaker_f6_ok,cabinet_ambient_temp_c,cabinet_input_voltage_vac,cabinet_rated_voltage_vac,cable_insulation_resistance_mohm,connector_torque_nm,contactor_k41_coil_vdc,contactor_k41_contact_vac,contactor_k41_resistance_ohm,control_module_supply_vdc,cooling_fan_ok,cpu_led_ok,cpu_load_pct,cross_connection_count,drive_module_led_ok,drive_module_psu_output_vdc,drive_module_supply_vdc,drive_module_terminal_voltage_vac,drive_module_x1_input_vac,drive_motor_temp_c,dsqc604_dcok_led_ok,dsqc604_input_vac,dsqc604_output_current_a,dsqc604_output_vdc,dsqc661_dcok_led_ok,dsqc661_input_vac,dsqc661_output_vdc,dsqc662_connected,dsqc662_input_vdc,dsqc662_status_led,duty_cycle_pct,earth_fault_current_ma,earth_fault_f4_ok,emi_level_dbuvm,ethernet_axc_led_ok,ethernet_link_ok,ethernet_packet_loss_pct,ethernet_ping_ms,event_log_error_count,fieldbus_msg_rate,flexpendant_connected,flexpendant_current_a,flexpendant_power_led_ok,flexpendant_supply_vdc,fuse_f2_ok,fuse_f6_ok,fuse_q1_ok,gearbox_oil_level_mm,gearbox_oil_temp_c,gearbox_surface_temp_c,input_filter_output_vac,intermittent_error_rate,io_bus_load_pct,io_update_interval_ms,joint_backlash_arcmin,joint_contact_resistance_ohm,load_insulation_resistance_mohm,main_computer_supply_vdc,main_switch_on,mains_frequency_hz,mains_phase_ok,mains_voltage_vac,oil_stain_area_cm2,parallel_bar_deviation_mm,program_cycle_time_ms,rapid_instruction_count,service_outlet_current_a,service_outlet_voltage_vac,switch_q12_closed,system_power_led_ok,tcp_orientation_error_deg,tcp_position_error_mm,temp_variation_rate_c_h,tool_load_kg,transformer_primary_vac,transformer_secondary_vac,transformer_t1_primary_vac,transformer_t1_secondary_vac,usb_connected,vibration_rms_mm_s,voltage_after_f6_vac,voltage_after_main_switch_vac,voltage_after_q12_vac,voltage_after_q1_vac,voltage_before_f6_vac,voltage_before_fuse_vac,voltage_before_q1_vac,voltage_deviation_pct
2026-04-04T00:00:00+00:00,0.0593,54.4786,15.0983,0.0424,0.0160,0.0000,40.0777,45.1184,0.4083,21.9384,8.0481,1.0000,24.7324,1.0000,1.0000,26.4971,227.8057,230.0000,786.0238,2.4964,23.8221,0.1992,0.0588,23.5447,1.0000,1.0000,34.0759,9.0000,1.0000,24.5708,23.9604,0.0000,228.6490,46.7636,1.0000,235.8958,1.7036,23.3148,1.0000,236.7259,23.9304,1.0000,25.0990,1.0000,79.1977,1.9103,1.0000,32.4852,1.0000,1.0000,0.0000,1.2321,0.3604,38.1773,1.0000,0.7439,1.0000,23.4200,1.0000,1.0000,1.0000,-0.4092,42.4103,36.0373,236.2620,0.2556,29.8695,50.6839,1.3367,0.0045,542.9544,23.7893,1.0000,49.9868,1.0000,233.4273,0.0543,0.0258,24.9374,153.6787,2.0772,240.4281,1.0000,1.0000,0.0611,0.1665,0.4739,4.9147,223.5142,25.0336,232.8999,39.9672,1.0000,1.2770,222.2280,235.6940,229.5207,237.3323,227.3648,229.6282,226.4079,-0.3674
2026-04-04T00:05:00+00:00,0.0253,52.1327,21.0706,-0.0276,0.0000,0.0834,43.5209,60.2304,0.4190,20.5966,8.4390,1.0000,24.8933,1.0000,1.0000,28.9623,219.5072,230.0000,871.1067,2.4651,24.0998,0.2239,0.0468,24.0351,1.0000,1.0000,13.9109,5.0000,1.0000,23.3221,24.3298,0.0000,227.2900,38.0645,1.0000,228.3260,1.6062,23.4461,1.0000,239.2829,24.2019,1.0000,25.7741,1.0000,69.0058,2.4364,1.0000,29.2672,1.0000,1.0000,0.1542,2.3875,0.5823,35.1615,1.0000,0.8217,1.0000,24.5456,1.0000,1.0000,1.0000,-0.8835,53.4619,48.0096,237.5227,0.1662,13.9542,51.3983,1.0049,0.0079,498.2152,23.4003,1.0000,49.8998,1.0000,229.0460,0.0000,0.0555,22.0665,154.6533,3.0480,230.7817,1.0000,1.0000,0.0303,0.2071,1.0025,5.0096,233.2889,22.6835,239.0042,42.0097,1.0000,1.5235,220.2298,247.9602,221.6448,229.4353,232.1053,231.8478,228.9826,0.3793
2026-04-04T00:10:00+00:00,0.0773,57.6316,18.2972,-0.0050,0.4550,0.1667,38.7352,56.1145,0.3730,18.9917,8.5934,1.0000,23.6887,1.0000,1.0000,23.7410,235.0537,230.0000,912.4689,2.2923,22.6770,0.2179,0.0420,23.5634,1.0000,1.0000,28.1036,12.0000,1.0000,25.1332,23.4596,0.0000,217.4732,43.5385,1.0000,219.6334,1.6055,24.1276,1.0000,237.1176,24.7998,1.0000,25.2506,1.0000,73.3635,2.3668,1.0000,22.3975,1.0000,1.0000,0.1309,2.1207,0.7112,52.7438,1.0000,0.7442,1.0000,23.7180,1.0000,1.0000,1.0000,-0.5648,45.1106,48.8111,225.3832,0.1345,26.3690,50.1921,0.9780,0.0129,534.2730,23.3629,1.0000,50.0318,1.0000,234.4691,0.0202,0.0836,19.2906,118.9455,3.4504,229.5106,1.0000,1.0000,0.0662,0.1410,0.1228,5.0390,241.8398,22.5108,234.1879,40.3303,1.0000,0.6088,224.8736,228.6909,224.7159,238.5806,240.2706,234.1706,221.8720,-1.3191
2026-04-04T00:15:00+00:00,0.0458,52.1883,24.8908,0.0057,0.1304,0.2501,38.1317,60.6005,0.3857,18.6017,8.7869,1.0000,23.8499,1.0000,1.0000,28.1103,231.4687,230.0000,911.5765,2.2808,24.3431,0.2289,0.0405,24.6677,1.0000,1.0000,47.0153,10.0000,1.0000,24.4211,24.7716,0.0000,234.8021,43.0284,1.0000,215.8665,1.5968,23.9075,1.0000,233.2215,23.8246,1.0000,25.1393,1.0000,67.7354,2.7666,1.0000,21.0982,1.0000,1.0000,0.2127,1.8275,0.3358,40.4741,1.0000,0.8424,1.0000,23.3646,1.0000,1.0000,1.0000,0.6199,52.5641,41.2444,235.5475,4.6094,27.7045,50.7388,1.2466,0.0093,451.2621,23.4350,1.0000,49.9380,1.0000,240.5089,0.0000,0.0589,24.2632,172.9008,3.8227,230.0527,1.0000,1.0000,0.0507,0.1106,0.2180,4.9581,229.3271,24.0644,217.2908,44.6524,0.0000,1.3744,236.8486,228.8305,223.7775,234.6694,240.5363,231.8337,233.2770,2.6863
2026-04-04T00:20:00+00:00,0.0684,57.5938,23.0634,0.0112,0.5485,0.3335,58.8968,50.0556,0.3681,21.0395,7.8599,1.0000,24.2705,1.0000,1.0000,28.6496,224.9094,230.0000,910.8127,2.2976,24.6766,0.2178,0.0535,23.4534,1.0000,1.0000,22.3125,9.0000,1.0000,23.1466,23.5780,0.0000,241.4087,46.0228,1.0000,231.1200,1.7179,24.7330,1.0000,231.4543,24.2822,1.0000,25.9200,1.0000,53.4356,2.0182,1.0000,21.4926,1.0000,1.0000,0.0224,2.2460,0.9080,30.3318,1.0000,0.6377,1.0000,24.8187,1.0000,1.0000,1.0000,0.7951,49.4531,35.7262,243.5823,0.2213,24.9922,49.7751,1.1160,0.0143,448.6654,23.9009,1.0000,50.0030,1.0000,228.3843,0.0947,0.0411,13.6868,424.2649,3.3562,247.5631,1.0000,1.0000,0.0662,0.0741,0.6847,5.0360,232.2619,23.6813,239.0034,39.4025,1.0000,1.1337,216.5922,233.8622,227.5757,234.2034,223.9562,224.1363,223.3822,-0.0499
2026-04-04T00:25:00+00:00,0.0393,55.1615,20.1030,-0.0269,0.2768,0.4169,45.7280,57.4677,0.4129,19.4456,7.7658,1.0000,25.1467,1.0000,1.0000,30.1941,222.2036,230.0000,718.6579,2.5345,23.8901,0.1835,0.0629,23.6861,1.0000,1.0000,26.6814,6.0000,1.0000,23.8924,23.0791,0.0000,225.6034,48.4599,1.0000,225.4081,1.4689,22.7975,1.0000,244.0633,23.9140,1.0000,25.0776,1.0000,58.5493,1.6533,1.0000,20.0646,1.0000,1.0000,0.2379,2.9606,0.6894,33.7999,1.0000,0.7351,1.0000,24.4431,1.0000,1.0000,1.0000,-0.0419,51.6921,46.2107,225.2483,0.2471,31.9630,50.3739,1.1669,0.0139,512.0636,24.0581,1.0000,50.0139,1.0000,228.3845,2.2901,0.0653,19.4166,151.6489,3.5174,230.2747,1.0000,1.0000,0.0536,0.0002,0.1638,4.9682,236.5721,24.0056,230.9327,40.9918,1.0000,1.0426,232.3042,228.0380,230.6869,236.7539,234.0865,233.5967,230.2328,1.9296
2026-04-04T00:30:00+00:00,0.0241,55.8532,26.8416,-0.0276,0.3036,0.5002,43.1361,53.9878,0.3909,20.4441,8.4575,1.0000,23.2231,1.0000,1.0000,24.3252,234.5639,230.0000,858.0429,2.4445,23.3542,0.2006,0.0467,23.4124,1.0000,1.0000,45.6130,13.0000,1.0000,23.9191,24.0048,0.0000,229.1942,37.4325,1.0000,228.9142,1.2517,24.0195,1.0000,226.7262,24.4622,1.0000,26.7656,1.0000,93.7748,2.4624,1.0000,71.4483,1.0000,1.0000,0.1393,1.3955,0.4647,47.8719,1.0000,0.6531,1.0000,24.4416,1.0000,1.0000,1.0000,0.0381,44.0793,44.4668,242.4182,0.4714,25.1474,49.9219,1.1154,0.0106,523.1125,24.1295,1.0000,50.0680,1.0000,240.8966,0.1229,0.0534,16.4528,406.9535,3.4053,224.2725,1.0000,1.0000,0.0542,0.1479,0.4247,4.9920,224.4048,24.6806,229.6415,42.0210,1.0000,1.0964,231.7035,239.2407,229.2553,235.7488,232.9201,235.6594,233.4534,-2.5198
2026-04-04T00:35:00+00:00,0.0442,55.1187,21.9352,0.0001,0.0005,0.5836,51.2113,55.5853,0.4163,20.7233,8.2713,1.0000,23.6016,1.0000,1.0000,30.9341,218.9515,230.0000,761.0825,2.3533,24.3126,0.1672,0.0642,23.3483,1.0000,1.0000,54.9143,14.0000,1.0000,24.1881,24.8153,0.0000,232.9966,46.9650,1.0000,232.2738,1.4586,24.2080,1.0000,234.8178,23.3975,1.0000,26.3131,1.0000,57.0199,0.9167,1.0000,30.4929,1.0000,1.0000,0.1473,1.7829,0.6485,29.3194,1.0000,0.7963,1.0000,24.1765,1.0000,1.0000,1.0000,0.1557,42.5653,41.2970,226.2095,3.7831,25.8778,48.9250,0.8982,0.0043,459.6535,24.1476,1.0000,49.9346,1.0000,235.2953,0.0510,0.5204,14.3262,137.5959,3.0752,225.4781,1.0000,1.0000,0.0582,0.2203,0.3524,5.0304,232.5310,23.6022,231.9413,41.5399,1.0000,0.8273,218.3922,227.2123,231.4895,237.3403,236.3921,232.4856,234.0427,-1.2518
2026-04-04T00:40:00+00:00,0.0541,55.7151,24.3808,-0.0155,0.1790,0.6670,48.0728,58.0511,0.3852,21.5031,8.7558,1.0000,24.0991,1.0000,1.0000,24.2538,232.0675,230.0000,886.0101,2.6241,23.7954,0.1629,0.0683,24.7638,1.0000,1.0000,33.2943,6.0000,1.0000,23.5251,24.2815,0.0000,241.8985,37.6037,1.0000,239.9579,1.1689,24.4309,1.0000,238.1021,23.7429,1.0000,25.3911,1.0000,58.5418,1.5783,1.0000,21.6479,1.0000,1.0000,0.2570,0.8665,0.2821,43.6718,1.0000,0.8795,1.0000,24.2876,1.0000,1.0000,1.0000,-0.2253,44.3932,52.4454,224.1214,0.2720,22.6770,48.7496,1.2065,0.0127,515.5186,23.6359,1.0000,49.8490,1.0000,226.7606,0.1960,0.0025,20.8469,159.8051,2.4308,235.3872,1.0000,1.0000,0.0474,0.1562,1.0484,4.9406,224.8906,22.6514,227.6196,40.6088,1.0000,0.6675,224.5014,229.7858,234.5832,244.7092,238.5810,234.3632,235.3234,1.0295
2026-04-04T00:45:00+00:00,0.0759,53.1912,26.2113,0.0087,0.2170,0.7504,45.0154,59.1097,0.3150,19.6620,8.4719,1.0000,23.4332,1.0000,1.0000,35.1550,235.8205,230.0000,719.9555,2.2459,24.6216,0.1341,0.0587,24.2605,1.0000,1.0000,46.5607,7.0000,1.0000,24.0154,24.3605,0.0000,231.3785,45.5001,1.0000,217.9422,1.2876,24.0688,1.0000,237.2057,24.3182,1.0000,26.1373,1.0000,58.4070,2.5869,1.0000,22.5319,1.0000,1.0000,0.0875,1.5007,0.4862,36.5856,1.0000,0.9505,1.0000,23.4086,1.0000,1.0000,1.0000,1.0092,50.2126,45.7674,232.0438,0.2630,22.2222,50.8496,1.1033,0.0086,457.1732,24.5080,1.0000,50.0092,1.0000,233.7437,0.0403,0.0589,27.7697,141.6453,2.9487,220.1435,1.0000,1.0000,0.0608,0.1540,0.6768,4.9225,235.9673,25.4720,231.5665,40.7930,1.0000,1.3807,224.4884,220.0471,227.1325,241.1566,222.8173,235.0063,228.5283,-0.3398
